trip_id,arrival_time,departure_time,stop_id,stop_sequence
RERA-0,7:00:00,7:00:00,SGL,1
RERA-0,7:08:00,7:09:00,RUEIL,2
RERA-0,7:13:00,7:14:00,NANV,3
RERA-0,7:17:00,7:18:00,LADEF,4
RERA-0,7:21:00,7:22:00,CDGE,5
RERA-0,7:24:00,7:25:00,AUBER,6
RERA-0,7:28:00,7:29:00,CHL,7
RERA-0,7:32:00,7:33:00,GDL,8
RERA-0,7:35:00,7:36:00,NAT,9
RERA-0,7:39:00,7:39:00,VINC,10
RERA-1,7:15:00,7:15:00,SGL,1
RERA-1,7:23:30,7:24:45,RUEIL,2
RERA-1,7:29:15,7:30:30,NANV,3
RERA-1,7:34:00,7:35:15,LADEF,4
RERA-1,7:38:45,7:40:00,CDGE,5
RERA-1,7:42:30,7:43:45,AUBER,6
RERA-1,7:47:15,7:48:30,CHL,7
RERA-1,7:52:00,7:53:15,GDL,8
RERA-1,7:55:45,7:57:00,NAT,9
RERA-1,8:00:30,8:00:30,VINC,10
RERA-2,7:30:00,7:30:00,SGL,1
RERA-2,7:39:00,7:40:30,RUEIL,2
RERA-2,7:45:30,7:47:00,NANV,3
RERA-2,7:51:00,7:52:30,LADEF,4
RERA-2,7:56:30,7:58:00,CDGE,5
RERA-2,8:01:00,8:02:30,AUBER,6
RERA-2,8:06:30,8:08:00,CHL,7
RERA-2,8:12:00,8:13:30,GDL,8
RERA-2,8:16:30,8:18:00,NAT,9
RERA-2,8:22:00,8:22:00,VINC,10
RERE-0,7:02:00,7:02:00,NLF,1
RERE-0,7:06:00,7:07:00,LADEF,2
RERE-0,7:13:00,7:14:00,HSL,3
RERE-0,7:17:00,7:18:00,MAG,4
RERE-0,7:20:00,7:21:00,RPK,5
RERE-0,7:23:00,7:24:00,PAN,6
RERE-0,7:28:00,7:28:00,NLS,7
RERE-1,7:17:00,7:17:00,NLF,1
RERE-1,7:21:30,7:22:45,LADEF,2
RERE-1,7:29:15,7:30:30,HSL,3
RERE-1,7:34:00,7:35:15,MAG,4
RERE-1,7:37:45,7:39:00,RPK,5
RERE-1,7:41:30,7:42:45,PAN,6
RERE-1,7:47:15,7:47:15,NLS,7
RERE-2,7:32:00,7:32:00,NLF,1
RERE-2,7:37:00,7:38:30,LADEF,2
RERE-2,7:45:30,7:47:00,HSL,3
RERE-2,7:51:00,7:52:30,MAG,4
RERE-2,7:55:30,7:57:00,RPK,5
RERE-2,8:00:00,8:01:30,PAN,6
RERE-2,8:06:30,8:06:30,NLS,7
TLINEL-0,7:04:00,7:04:00,PSL,1
TLINEL-0,7:07:00,7:08:00,PCAR,2
TLINEL-0,7:10:00,7:11:00,CLI,3
TLINEL-0,7:14:00,7:15:00,ASN,4
TLINEL-0,7:17:00,7:18:00,BEC,5
TLINEL-0,7:20:00,7:21:00,COUR,6
TLINEL-0,7:24:00,7:25:00,LADEF,7
TLINEL-0,7:29:00,7:29:00,NANU,8
TLINEL-1,7:19:00,7:19:00,PSL,1
TLINEL-1,7:22:30,7:23:45,PCAR,2
TLINEL-1,7:26:15,7:27:30,CLI,3
TLINEL-1,7:31:00,7:32:15,ASN,4
TLINEL-1,7:34:45,7:36:00,BEC,5
TLINEL-1,7:38:30,7:39:45,COUR,6
TLINEL-1,7:43:15,7:44:30,LADEF,7
TLINEL-1,7:49:00,7:49:00,NANU,8
TLINEL-2,7:34:00,7:34:00,PSL,1
TLINEL-2,7:38:00,7:39:30,PCAR,2
TLINEL-2,7:42:30,7:44:00,CLI,3
TLINEL-2,7:48:00,7:49:30,ASN,4
TLINEL-2,7:52:30,7:54:00,BEC,5
TLINEL-2,7:57:00,7:58:30,COUR,6
TLINEL-2,8:02:30,8:04:00,LADEF,7
TLINEL-2,8:09:00,8:09:00,NANU,8
TLINEJ-0,7:06:00,7:06:00,PSL,1
TLINEJ-0,7:09:00,7:10:00,PCAR,2
TLINEJ-0,7:12:00,7:13:00,CLI,3
TLINEJ-0,7:16:00,7:17:00,ASN,4
TLINEJ-0,7:20:00,7:21:00,BCOL,5
TLINEJ-0,7:29:00,7:30:00,ARG,6
TLINEJ-0,7:36:00,7:36:00,ERM,7
TLINEJ-1,7:21:00,7:21:00,PSL,1
TLINEJ-1,7:24:30,7:25:45,PCAR,2
TLINEJ-1,7:28:15,7:29:30,CLI,3
TLINEJ-1,7:33:00,7:34:15,ASN,4
TLINEJ-1,7:37:45,7:39:00,BCOL,5
TLINEJ-1,7:47:30,7:48:45,ARG,6
TLINEJ-1,7:55:15,7:55:15,ERM,7
TLINEJ-2,7:36:00,7:36:00,PSL,1
TLINEJ-2,7:40:00,7:41:30,PCAR,2
TLINEJ-2,7:44:30,7:46:00,CLI,3
TLINEJ-2,7:50:00,7:51:30,ASN,4
TLINEJ-2,7:55:30,7:57:00,BCOL,5
TLINEJ-2,8:06:00,8:07:30,ARG,6
TLINEJ-2,8:14:30,8:14:30,ERM,7
