stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
SGL,Saint-Germain-en-Laye,48.8977,2.0936,0,
RUEIL,Rueil-Malmaison,48.878,2.182,0,
NANV,Nanterre-Ville,48.8939,2.2065,0,
LADEF,La Defense,48.8918,2.2386,0,
CDGE,Charles de Gaulle - Etoile,48.874,2.295,0,
AUBER,Auber,48.872,2.329,0,
CHL,Chatelet - Les Halles,48.862,2.347,0,
GDL,Gare de Lyon,48.8443,2.3743,0,
NAT,Nation,48.8484,2.3958,0,
VINC,Vincennes,48.8474,2.4357,0,
NLF,Nanterre - La Folie,48.8997,2.2247,0,
HSL,Haussmann - Saint-Lazare,48.8757,2.328,0,
MAG,Magenta,48.8809,2.359,0,
RPK,Rosa Parks,48.8979,2.3705,0,
PAN,Pantin,48.8966,2.3899,0,
NLS,Noisy-le-Sec,48.8895,2.4503,0,
PSL,Paris Saint-Lazare,48.8757,2.3253,0,
PCAR,Pont Cardinet,48.8861,2.3151,0,
CLI,Clichy - Levallois,48.8973,2.307,0,
ASN,Asnieres-sur-Seine,48.9061,2.2856,0,
BEC,Becon-les-Bruyeres,48.9132,2.2745,0,
COUR,Courbevoie,48.899,2.256,0,
NANU,Nanterre-Universite,48.9018,2.2139,0,
BCOL,Bois-Colombes,48.917,2.27,0,
ARG,Argenteuil,48.9476,2.2546,0,
ERM,Ermont - Eaubonne,48.9905,2.264,0,
